EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
92.875,2.05,6,11188,3134.630761861801,565708,0.0,0.2048317,0.55134317278862,0.0004674333,0.007946903,0.007946903
91.875,1.95,6,11194,3137.485139131546,566207,0.0,0.33361602,0.7997160851955414,0.00089531817,0.015904378,0.015904378
96.4,2.05,5,11199,3140.336487531662,566733,0.0,0.20148334,0.43700993061065674,0.0004272166,0.007017629,0.007017629
95.9,2.05,7,11206,3143.330391407013,567294,0.0,0.23477697,0.7986828833818436,0.000492468,0.0034837667,0.0034837667
86.875,1.675,6,11212,3146.201443195343,567745,0.0,0.34679118,0.5480093657970428,0.00045547434,0.0071800794,0.0071800794
81.225,1.525,6,11218,3149.0914080142975,568222,0.0,0.15307954,0.5605680048465729,0.0007765146,0.008482443,0.008482443
82.475,1.525,7,11225,3151.9474453926086,568743,0.0,0.30246723,0.5887866616249084,0.0005916701,0.006849739,0.006849739
86.075,1.625,6,11231,3154.799179315567,569343,0.0,0.13246618,0.4953826069831848,0.0010116587,0.008516609,0.008516609
81.8,1.525,6,11237,3157.638948202133,569850,0.0,0.24891391,0.5414969325065613,0.00056528184,0.0056859795,0.0056859795
82.95,1.6,5,11242,3160.475094795227,570326,0.0,0.15652895,0.4724353551864624,0.00044432984,0.0054172487,0.0054172487
87.25,1.725,4,11246,3163.3025517463684,570784,0.0,0.18763392,0.6194412112236023,0.0008660648,0.008334262,0.008334262
89.225,1.825,5,11251,3166.13400554657,571293,0.0,0.18155317,0.2271033525466919,0.00048947067,0.009352329,0.009352329
91.425,1.875,7,11258,3168.9972052574158,571879,0.0,0.25715864,0.5940771996974945,0.0005085212,0.009844003,0.009844003
89.9,1.9,6,11264,3171.841812849045,572318,0.0,0.23601882,0.49331533908843994,0.00040200457,0.010165429,0.010165429
89.475,1.9,7,11271,3174.6327905654907,572922,0.0,0.17609608,0.46084582805633545,0.0013598666,0.0100927,0.0100927
94.275,2.15,4,11275,3177.4696311950684,573432,0.0,0.1264084,0.45775270462036133,0.0006717574,0.008605438,0.008605438
92.7,2.0,6,11281,3180.236665725708,573938,0.0,0.33073533,0.6775242984294891,0.0011506407,0.013458835,0.013458835
90.75,1.925,5,11286,3183.072836637497,574414,0.0,0.4386933,0.814200684428215,0.0004171792,0.008845214,0.008845214
86.05,1.775,6,11292,3185.828160762787,574848,0.0,0.30773324,0.4379316568374634,0.0009592597,0.011847271,0.011847271
87.15,1.775,7,11299,3188.7116208076477,575436,0.0,0.39877415,0.33900290727615356,0.00048012854,0.006551307,0.006551307
90.8,1.85,4,11303,3191.548537492752,575877,0.0,0.14817022,0.38609790802001953,0.0006783592,0.0070808325,0.0070808325
89.725,1.775,8,11311,3194.3410618305206,576511,0.0,0.3341619,0.2195819616317749,0.00095089606,0.012304362,0.012304362
86.775,1.625,6,11317,3197.1915850639343,577022,0.0,0.20835657,0.6212065517902374,0.0014661006,0.011909709,0.011909709
84.625,1.65,5,11322,3200.0339109897614,577488,0.0,0.23110285,0.4764910340309143,0.0008200048,0.009469769,0.009469769
88.2,1.775,6,11328,3202.8765983581543,578034,0.0,0.30805048,0.5082667469978333,0.0004456556,0.00708442,0.00708442
85.4,1.675,5,11333,3205.7154712677,578396,0.0,0.4013332,0.3178675174713135,0.0006828299,0.009840015,0.009840015
87.7,1.775,6,11339,3208.5573241710663,578944,0.0,0.16275318,0.4821728467941284,0.0008211157,0.009167929,0.009167929
82.6,1.65,6,11345,3211.4533920288086,579455,0.0,0.30140358,0.5117153227329254,0.00054309843,0.007255651,0.007255651
87.025,1.85,5,11350,3214.3388221263885,579969,0.0,0.18526345,0.13852989673614502,0.0005852265,0.009650896,0.009650896
89.475,1.9,6,11356,3217.1905698776245,580549,0.0,0.2427453,0.34523773193359375,0.0010946789,0.010891584,0.010891584
89.9,1.85,5,11361,3219.9621856212616,581061,0.0,0.32731694,0.645539253950119,0.0013892871,0.021554392,0.021554392
87.8,1.775,6,11367,3222.731543779373,581474,0.0,0.2726817,0.6401589810848236,0.0010709683,0.017478248,0.017478248
93.025,1.95,6,11373,3225.572965145111,582117,0.0,0.18176708,0.45089882612228394,0.00085922214,0.010837242,0.010837242
97.95,2.1,4,11377,3228.4089658260345,582641,0.0,0.20746174,-0.09247827529907227,0.0007918623,0.01070144,0.01070144
97.8,2.1,5,11382,3231.2645444869995,583108,0.0,0.19872355,0.6459889709949493,0.0013149934,0.009735969,0.009735969
92.075,1.95,7,11389,3234.1572756767273,583608,0.0,0.32925987,0.564215898513794,0.0008785889,0.01238736,0.01238736
90.625,1.875,6,11395,3237.0283677577972,584151,0.0,0.24385874,0.7459824979305267,0.0004108661,0.0078991335,0.0078991335
89.35,1.875,6,11401,3239.922686815262,584635,0.0,0.079699636,0.46764785051345825,0.0013857844,0.01075034,0.01075034
90.275,1.9,5,11406,3242.770826816559,585064,0.0,0.116239876,0.16529399156570435,0.00045391516,0.005209602,0.005209602
81.5,1.6,9,11415,3245.6581053733826,585707,0.0,0.3144876,0.6911998093128204,0.00044197403,0.0076099923,0.0076099923
74.625,1.425,8,11423,3248.514551639557,586175,0.0,0.32535836,0.8055126219987869,0.00081485976,0.010409625,0.010409625
70.45,1.275,8,11431,3251.389592409134,586653,0.0,0.20323023,0.7367725372314453,0.0005219985,0.0057562334,0.0057562334
74.675,1.425,4,11435,3254.2557277679443,587138,0.0,0.13320485,0.5691229999065399,0.00093069824,0.010720694,0.010720694
76.2,1.425,7,11442,3257.1286165714264,587766,0.0,0.2371944,0.5389004349708557,0.0007813736,0.009246289,0.009246289
73.95,1.4,6,11448,3259.985370159149,588247,0.0,0.25691885,0.6530802249908447,0.0005623271,0.009133941,0.009133941
77.075,1.5,6,11454,3262.916253566742,588769,0.0,0.2083886,0.7447842657566071,0.00038526952,0.0046004336,0.0046004336
79.675,1.575,4,11458,3265.739208459854,589178,0.0,0.099369496,0.5946804583072662,0.0008714424,0.0065586055,0.0065586055
90.7,1.875,5,11463,3268.5690371990204,589803,0.0,0.15908457,0.6150244772434235,0.0012797691,0.01218855,0.01218855
86.7,1.75,10,11473,3271.4277663230896,590273,0.0,0.33579636,0.473967969417572,0.001371687,0.011259403,0.011259403
80.9,1.625,6,11479,3274.3065621852875,590811,0.0,0.09337443,0.5169311463832855,0.0007364986,0.0062230886,0.0062230886
79.175,1.6,8,11487,3277.174384355545,591318,0.0,0.37195802,0.7084310948848724,0.0004372003,0.007614671,0.007614671
78.225,1.55,6,11493,3280.0256140232086,591802,0.0,0.22665438,0.6550643444061279,0.00039178488,0.0040539866,0.0040539866
72.55,1.375,7,11500,3282.918032646179,592307,0.0,0.23836622,0.8128556907176971,0.000687503,0.007728601,0.007728601
71.975,1.35,4,11504,3285.7490706443787,592801,0.0,0.19247457,0.41950523853302,0.0007392301,0.0072606145,0.0072606145
79.4,1.55,6,11510,3288.5336713790894,593307,0.0,0.18830082,0.5642836689949036,0.0014919002,0.009474616,0.009474616
81.575,1.575,8,11518,3291.3178889751434,593914,0.0,0.3349793,0.7506010681390762,0.0014352225,0.013366308,0.013366308
82.025,1.55,5,11523,3294.2095975875854,594341,0.0,0.17836398,0.6229959726333618,0.0010392012,0.010817034,0.010817034
88.125,1.825,4,11527,3297.088201522827,594843,0.0,0.11531824,0.27983272075653076,0.0009688989,0.009773765,0.009773765
91.575,1.975,5,11532,3300.0569548606873,595394,0.0,0.13195932,0.16170495748519897,0.0011924722,0.0062806197,0.0062806197
95.05,2.125,6,11538,3302.91867351532,595966,0.0,0.22138488,0.4411812424659729,0.00070517824,0.008592676,0.008592676
91.7,2.075,6,11544,3305.8967695236206,596469,0.0,0.18108714,0.6330901682376862,0.00045932463,0.0052486495,0.0052486495
92.45,2.1,5,11549,3308.746041536331,596982,0.0,0.13728422,0.48707491159439087,0.00090904016,0.00866046,0.00866046
95.3,2.15,4,11553,3311.575838804245,597439,0.0,0.33797842,0.6021553874015808,0.0005050708,0.007649591,0.007649591
100.05,2.275,7,11560,3314.446511745453,598008,0.0,0.34056896,0.8631244599819183,0.00039862934,0.009996196,0.009996196
95.475,2.075,6,11566,3317.318200826645,598486,0.0,0.16115522,0.8251092284917831,0.00036834774,0.0060913335,0.0060913335
95.15,1.975,5,11571,3320.180862903595,599033,0.0,0.19400251,0.4457879662513733,0.0004324024,0.0064976877,0.0064976877
88.525,1.75,7,11578,3323.045964717865,599507,0.0,0.3532213,0.5981008112430573,0.00047932068,0.009471483,0.009471483
87.3,1.65,7,11585,3325.9283339977264,599984,0.0,0.31120506,0.7615910321474075,0.00072201417,0.009635827,0.009635827
87.325,1.65,4,11589,3328.874989271164,600475,0.0,0.16821823,0.013263046741485596,0.00037848525,0.0052200677,0.0052200677
88.95,1.725,4,11593,3331.7412083148956,600997,0.0,0.13117456,0.5912753045558929,0.00090697635,0.009790663,0.009790663
92.525,1.85,4,11597,3334.615079164505,601496,0.0,0.19999453,0.41985034942626953,0.0013067207,0.013469659,0.013469659
94.575,1.925,5,11602,3337.369559288025,602054,0.0,0.21316175,0.5159637629985809,0.0008526682,0.00794228,0.00794228
95.875,1.925,6,11608,3340.1266736984253,602567,0.0,0.26856202,0.6813489496707916,0.0012464706,0.011530573,0.011530573
96.6,1.975,6,11614,3342.998383998871,603112,0.0,0.28767496,0.6083842813968658,0.00077133393,0.014973572,0.014973572
99.175,2.025,5,11619,3345.9121866226196,603546,0.0,0.2756325,0.3078433871269226,0.00037466187,0.0049342746,0.0049342746
102.375,2.175,4,11623,3348.8126587867737,603986,0.0,0.08897086,0.5141109526157379,0.0011560582,0.007049064,0.007049064
106.05,2.35,5,11628,3351.662815093994,604612,0.0,0.18670306,0.5346738398075104,0.0005137719,0.00698246,0.00698246
105.1,2.325,3,11631,3354.495502948761,604988,0.0,0.14878553,0.5958582162857056,0.0009938566,0.012020392,0.012020392
105.6,2.325,5,11636,3357.3774604797363,605624,0.0,0.17188269,0.5232498943805695,0.00070152624,0.0067362245,0.0067362245
96.65,2.075,9,11645,3360.1455767154694,606149,0.0,0.2947511,0.5967206358909607,0.0013631524,0.011976203,0.011976203
94.525,2.025,7,11652,3363.0976526737213,606719,0.0,0.12401664,0.4445091485977173,0.0004757358,0.0040571345,0.0040571345
96.025,2.075,6,11658,3365.9660935401917,607217,0.0,0.25753567,0.765726312994957,0.000641423,0.0075769224,0.0075769224
86.875,1.75,7,11665,3368.766244649887,607689,0.0,0.19178446,0.7963481098413467,0.0013576841,0.01192328,0.01192328
81.7,1.575,6,11671,3371.6538310050964,608256,0.0,0.250442,0.7347584068775177,0.00042077873,0.00541226,0.00541226
72.45,1.3,7,11678,3374.527970790863,608690,0.0,0.248485,0.4928526282310486,0.0007259062,0.009531976,0.009531976
80.3,1.525,5,11683,3377.3697896003723,609269,0.0,0.21123295,-0.06710171699523926,0.0003739411,0.007375006,0.007375006
82.375,1.6,5,11688,3380.2200713157654,609760,0.0,0.17151064,0.5527891218662262,0.0014897895,0.011924832,0.011924832
87.85,1.75,4,11692,3383.0771193504333,610233,0.0,0.12073414,0.5950131118297577,0.0012048692,0.010292852,0.010292852
85.425,1.75,7,11699,3385.944947719574,610655,0.0,0.17486273,0.2304059863090515,0.00047233092,0.005429713,0.005429713
86.725,1.775,7,11706,3388.809642791748,611311,0.0,0.23773952,0.736516535282135,0.00068709045,0.008136482,0.008136482
88.85,1.85,5,11711,3391.5474178791046,611810,0.0,0.18861566,0.5965514481067657,0.0011852197,0.0123262415,0.0123262415
96.375,2.075,3,11714,3394.5313918590546,612275,0.0,0.25585157,0.4168165326118469,0.00041740393,0.007643814,0.007643814
95.2,2.0,6,11720,3397.4172356128693,612859,0.0,0.31837526,0.7912646532058716,0.00096893945,0.010433203,0.010433203
96.375,2.025,6,11726,3400.2863368988037,613369,0.0,0.26807162,0.3266942501068115,0.0005142812,0.0058585107,0.0058585107
86.975,1.725,7,11733,3403.1619708538055,613887,0.0,0.27367565,0.7890033274888992,0.0005489065,0.005752493,0.005752493
94.05,1.875,4,11737,3405.918303966522,614373,0.0,0.20902738,0.6948617994785309,0.0012173671,0.011516115,0.011516115
98.5,2.05,3,11740,3408.6695618629456,614763,0.0,0.20613703,-0.02426779270172119,0.0013004178,0.015403125,0.015403125
102.525,2.175,6,11746,3411.5337133407593,615412,0.0,0.24400169,0.2077135443687439,0.0004153569,0.005981506,0.005981506
103.3,2.2,4,11750,3414.4075739383698,615790,0.0,0.26724994,0.8166751712560654,0.0005247417,0.008998385,0.008998385
98.425,2.05,5,11755,3417.258977174759,616320,0.0,0.22392336,0.38122206926345825,0.0010364088,0.011654755,0.011654755
100.175,2.125,6,11761,3420.10227060318,616889,0.0,0.18558757,0.7741095125675201,0.0006659952,0.0073749498,0.0073749498
