eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
198.30188679245282,1.7735849056603774,206,0.0009847723,0.03955078,1.3768337,-0.0014862892,0.03611379,0.31610167026519775,20,2560,50.69423247501254,10240
197.54545454545453,1.7454545454545454,203,0.00028847542,0.0,1.3670803,-0.0008106752,0.033963263,0.34448951482772827,21,2688,53.206000927020796,10752
199.4915254237288,1.8305084745762712,205,0.0018153598,0.09326172,1.3495167,-0.0020018085,0.03326937,0.26845085620880127,22,2816,55.69827115407679,11264
198.78333333333333,1.8166666666666667,207,0.002046647,0.12646484,1.3495195,-0.003930727,0.042499736,0.37627726793289185,23,2944,58.16726790298708,11776
202.82539682539684,1.9047619047619047,202,0.0045145736,0.2788086,1.3253922,-0.00437469,0.025657412,0.5538076162338257,24,3072,60.69281244906597,12288
202.86363636363637,1.9090909090909092,210,0.0018778371,0.076660156,1.3249167,-0.001997631,0.03947389,0.5974108576774597,25,3200,63.12635410798248,12800
201.73529411764707,1.8823529411764706,203,0.0008797011,0.026367188,1.3377135,-0.0015223953,0.03688332,0.5717462003231049,26,3328,65.64524742099456,13312
201.5,1.875,208,0.002491179,0.1459961,1.3430971,-0.0052120727,0.022279257,0.5471015274524689,27,3456,68.105938059045,13824
202.86486486486487,1.9324324324324325,204,0.00090079487,0.021972656,1.3206937,-0.0009212347,0.01765214,0.7499260902404785,28,3584,70.60638861509506,14336
201.5,1.8974358974358974,200,0.0024169325,0.16992188,1.2921145,-0.0062511144,0.014916796,0.787354439496994,29,3712,73.15409695601556,14848
198.8148148148148,1.8271604938271604,203,0.0012322974,0.05126953,1.2910653,-0.0003051397,0.013849371,0.7572772651910782,30,3840,75.67578449798748,15360
198.6547619047619,1.8214285714285714,202,0.0025652263,0.1953125,1.3280853,-0.0051432103,0.0157036,0.8441451489925385,31,3968,78.20982690504752,15872
197.81176470588235,1.8,209,0.0015422464,0.07519531,1.3470559,-0.00234712,0.025838593,0.713456779718399,32,4096,80.65430400008336,16384
199.70454545454547,1.8409090909090908,201,0.00016897752,0.0009765625,1.3546441,-0.000677208,0.018780017,0.7711212188005447,33,4224,83.19945365306921,16896
200.9891304347826,1.923913043478261,204,0.0019166025,0.076660156,1.3743562,-0.0021617454,0.01779362,0.7838198840618134,34,4352,85.70209862699267,17408
199.90425531914894,1.8936170212765957,202,0.0016829955,0.09765625,1.366447,-0.004766404,0.01642189,0.7303541302680969,35,4480,88.22737249208149,17920
198.41237113402062,1.8556701030927836,203,0.0019607751,0.17138672,1.3663331,-0.0062154955,0.014582434,0.8548744022846222,36,4608,90.74184553208761,18432
199.77777777777777,1.9090909090909092,207,0.0007532054,0.009765625,1.3664796,-0.0015428774,0.0175772,0.7845022678375244,37,4736,93.21047962107696,18944
201.24,1.94,206,0.00208034,0.16601562,1.3547271,-0.0069733323,0.015611154,0.8335388004779816,38,4864,95.68810585001484,19456
198.79,1.88,204,0.0012204587,0.045410156,1.3459375,-0.0016929129,0.010258562,0.8869645595550537,39,4992,98.19806647708174,19968
198.32,1.87,203,0.0006675271,0.037597656,1.3439453,-0.00288162,0.014090339,0.8719412535429001,40,5120,100.71005600108765,20480
197.38,1.85,204,0.0026201685,0.12841797,1.3238418,-0.0073031047,0.01626163,0.85230353474617,41,5248,103.2109712640522,20992
198.98,1.89,206,0.0007501963,0.019042969,1.3188953,-0.0028440652,0.034086227,0.5356214940547943,42,5376,105.68799549201503,21504
203.11,1.98,202,0.0006477045,0.0107421875,1.3335553,-0.0006606626,0.011314561,0.7611958235502243,43,5504,108.21794236102141,22016
201.64,1.94,202,0.0026444653,0.12695312,1.318065,-0.0036048195,0.005375821,0.8956911861896515,44,5632,110.7464243780123,22528
201.95,1.95,201,0.0014773273,0.061035156,1.3337078,-0.0028748328,0.00516659,0.9487770311534405,45,5760,113.28867974004243,23040
200.76,1.92,206,0.0007151973,0.0390625,1.3243858,-0.0012804853,0.014196043,0.8776444047689438,46,5888,115.76607082900591,23552
200.29,1.91,209,0.0016413239,0.04296875,1.2753773,-0.0024461965,0.011920376,0.8954246863722801,47,6016,118.2139931950951,24064
203.17,1.97,208,0.0011579046,0.064941406,1.3022466,-0.0013570638,0.010400277,0.8906115218997002,48,6144,120.66659980709665,24576
206.44,2.07,205,0.0011087065,0.07373047,1.3195454,-0.0022859797,0.00860802,0.9250247478485107,49,6272,123.15893565106671,25088
208.76,2.14,202,0.0021208622,0.14941406,1.2955226,-0.002960871,0.0063521196,0.9483164548873901,50,6400,125.69305333599914,25600
208.74,2.14,202,0.00082630944,0.018554688,1.3157868,-0.002363458,0.010964878,0.8223626017570496,51,6528,128.21900125499815,26112
211.49,2.2,202,0.002446548,0.15625,1.2964851,-0.0074886773,0.015023653,0.8257314264774323,52,6656,130.746075340081,26624
211.01,2.19,204,0.0019194651,0.10498047,1.2701442,-0.003818397,0.018108968,0.8746851682662964,53,6784,133.2502825059928,27136
210.0,2.16,204,0.00252144,0.10205078,1.2972189,-0.0025303299,0.008562821,0.9070236533880234,54,6912,135.75799189403187,27648
212.76,2.25,199,0.0016600606,0.05908203,1.267746,-0.0019893493,0.0054117283,0.9504745379090309,55,7040,138.33098546799738,28160
215.51,2.34,204,0.0015434315,0.0390625,1.2992406,-0.0040478236,0.0090113375,0.9269331395626068,56,7168,140.83861258008983,28672
213.79,2.28,203,0.0038047296,0.2939453,1.3274177,-0.006041334,0.010881611,0.8467255681753159,57,7296,143.35009421303403,29184
215.75,2.33,205,0.0019604894,0.10546875,1.3400284,-0.0052176956,0.003496184,0.9259060770273209,58,7424,145.8419229449937,29696
213.58,2.31,202,0.0007579818,0.022949219,1.3295068,-0.0029531019,0.015163768,0.8487785756587982,59,7552,148.37031564500649,30208
214.31,2.33,207,0.0014393152,0.055664062,1.3416725,-0.003578772,0.017329123,0.813529446721077,60,7680,150.84183608100284,30720
213.88,2.3,208,0.0015164365,0.0703125,1.3466103,-0.0053534377,0.013483627,0.8600815832614899,61,7808,153.3027605720563,31232
214.33,2.33,206,0.0011287086,0.034179688,1.3403065,-0.0041217995,0.016207216,0.8009816855192184,62,7936,155.78204686008394,31744
213.46,2.36,206,0.000895653,0.021484375,1.3283136,-0.002126363,0.015659213,0.8406050503253937,63,8064,158.26204250007868,32256
213.48,2.36,207,0.0002897222,0.0048828125,1.3408208,-0.0025687912,0.01013976,0.8954163566231728,64,8192,160.72775495401584,32768
216.63,2.47,203,0.0008740128,0.032226562,1.3249707,-0.004645829,0.015538212,0.7953582108020782,65,8320,163.24132172204554,33280
217.88,2.49,203,0.0010381566,0.045898438,1.3147923,-0.00599528,0.006059262,0.9407232888042927,66,8448,165.7620966640534,33792
217.04,2.47,206,0.0019119756,0.10253906,1.3488654,-0.0061944253,0.014828446,0.8123391717672348,67,8576,168.24022012006026,34304
216.81,2.44,203,0.00090467994,0.020019531,1.3342978,-0.0025354882,0.008017955,0.9197526723146439,68,8704,170.7516541799996,34816
217.76,2.46,203,0.0013073989,0.030761719,1.3520337,-0.0023124204,0.00672084,0.9458079822361469,69,8832,173.27062679908704,35328
219.26,2.5,210,0.0018559954,0.08496094,1.31875,-0.0062334347,0.004634013,0.9285206943750381,70,8960,175.7065396590624,35840
221.13,2.54,200,0.0013465008,0.064941406,1.3452301,-0.0046069305,0.0021714384,0.8784322291612625,71,9088,178.2579332999885,36352
220.44,2.52,202,0.001597295,0.04345703,1.314633,-0.005850357,0.0047868537,0.9620352126657963,72,9216,180.78482988709584,36864
221.61,2.55,206,0.001675268,0.09667969,1.3087989,-0.006084856,0.02057872,0.7967054098844528,73,9344,183.26090919808485,37376
219.57,2.5,207,0.0015746574,0.064453125,1.3120022,-0.0054033985,0.013304284,0.8679527193307877,74,9472,185.73011515603866,37888
225.33,2.66,213,0.00043520282,0.015136719,1.3085829,-0.0030646943,0.010594334,0.9019264280796051,75,9600,188.12616825301666,38400
223.99,2.58,209,0.0013092651,0.06738281,1.3120534,-0.0047925864,0.0076821386,0.910778097808361,76,9728,190.57532547903247,38912
223.98,2.58,203,0.0015825322,0.080566406,1.3224845,-0.0044867494,0.007134419,0.9468652307987213,77,9856,193.09213729400653,39424
224.72,2.6,205,0.001999879,0.10986328,1.3088646,-0.006580998,0.010780292,0.9075867086648941,78,9984,195.58986562909558,39936
