# {"t_start": 1574517855.5826716, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
5.0,347,1074.110635
0.0,125,1075.396174
0.0,125,1076.7205
4.0,299,1079.930436
1.0,175,1081.663284
0.0,129,1082.947404
1.0,170,1084.753091
3.0,248,1087.418425
0.0,129,1088.652313
2.0,198,1090.711838
0.0,127,1091.972397
9.0,404,1096.192391
5.0,350,1100.082317
2.0,198,1102.062914
2.0,202,1104.202569
0.0,127,1105.537875
5.0,352,1109.393511
0.0,129,1110.72635
2.0,202,1112.930277
0.0,125,1114.170879
0.0,125,1115.509976
0.0,127,1116.780141
0.0,125,1118.03764
3.0,246,1120.67063
2.0,200,1122.849197
2.0,202,1125.014102
2.0,200,1127.209343
5.0,350,1131.041416
1.0,153,1132.680038
0.0,127,1133.996839
8.0,450,1138.777705
5.0,352,1142.520927
0.0,129,1143.802497
0.0,129,1145.043884
2.0,202,1147.017768
5.0,352,1150.711243
0.0,129,1152.07059
3.0,230,1154.597764
0.0,127,1155.939383
5.0,350,1159.699189
0.0,125,1160.919723
0.0,125,1162.193698
10.0,433,1166.737429
1.0,178,1168.512428
0.0,129,1169.839319
1.0,178,1171.810396
4.0,297,1175.116742
3.0,270,1178.1019
0.0,129,1179.444442
0.0,129,1180.684837
3.0,248,1183.244915
0.0,127,1184.559935
9.0,403,1189.02526
0.0,129,1190.280542
0.0,129,1191.523971
9.0,404,1195.73683
3.0,248,1198.458033
2.0,198,1200.483009
0.0,125,1201.709135
5.0,350,1205.549756
12.0,425,1209.972508
0.0,129,1211.210675
0.0,125,1212.419688
4.0,295,1215.542174
0.0,127,1216.778049
0.0,125,1217.993904
0.0,123,1219.2336
0.0,129,1220.533144
0.0,127,1221.873677
0.0,129,1223.19201
5.0,350,1226.84753
1.0,177,1228.654164
2.0,200,1230.734365
5.0,328,1234.290813
1.0,175,1236.170819
0.0,129,1237.536338
5.0,350,1241.556625
0.0,127,1242.925169
3.0,247,1245.572906
1.0,155,1247.254785
3.0,246,1249.967564
0.0,129,1251.321545
0.0,129,1252.672994
0.0,129,1253.946405
2.0,202,1256.159206
0.0,127,1257.461638
5.0,350,1261.118391
0.0,127,1262.313406
2.0,198,1264.404418
2.0,198,1266.444307
10.0,450,1271.201951
2.0,202,1273.238358
0.0,127,1274.457196
0.0,127,1275.69767
2.0,200,1277.859044
3.0,246,1280.480927
4.0,297,1283.51763
0.0,129,1284.833709
0.0,127,1286.188716
9.0,404,1290.555777
0.0,129,1291.899159
0.0,127,1293.217258
9.0,404,1297.619668
1.0,153,1299.205422
0.0,129,1300.529232
5.0,352,1304.224829
2.0,202,1306.332538
0.0,129,1307.601402
1.0,175,1309.41041
2.0,198,1311.379322
0.0,129,1312.62512
10.0,453,1317.422275
1.0,157,1319.082741
2.0,202,1321.202208
4.0,319,1324.719939
0.0,127,1325.953862
12.0,527,1331.837487
1.0,173,1333.546987
2.0,220,1335.884859
4.0,298,1339.151894
0.0,127,1340.510942
6.0,380,1344.65096
0.0,127,1345.909279
0.0,125,1347.108844
0.0,127,1348.410854
5.0,352,1352.195614
0.0,125,1353.507937
9.0,403,1357.882313
4.0,299,1360.972225
1.0,153,1362.498383
2.0,202,1364.514664
0.0,127,1365.834941
11.0,482,1371.014089
9.0,404,1375.313945
5.0,350,1379.154521
1.0,157,1380.681665
2.0,200,1382.684911
0.0,125,1383.875719
9.0,404,1388.101972
0.0,127,1389.46819
5.0,329,1393.03294
1.0,157,1394.613717
0.0,129,1395.86918
10.0,435,1400.502265
0.0,129,1401.828008
0.0,125,1403.040582
2.0,202,1405.118702
0.0,129,1406.413668
3.0,250,1409.026356
4.0,299,1412.325361
1.0,157,1413.980538
1.0,158,1415.660362
0.0,125,1417.000787
4.0,295,1420.260759
0.0,129,1421.644134
0.0,125,1422.909407
0.0,129,1424.248455
0.0,129,1425.582842
0.0,125,1426.863827
0.0,129,1428.164526
0.0,129,1429.39517
0.0,129,1430.649271
2.0,200,1432.754764
1.0,157,1434.392287
4.0,297,1437.616888
0.0,129,1438.957735
0.0,129,1440.244742
9.0,404,1444.535862
0.0,127,1445.859899
1.0,176,1447.661286
0.0,129,1449.01702
0.0,125,1450.268722
2.0,202,1452.480657
0.0,129,1453.793291
5.0,352,1457.447765
0.0,129,1458.750275
0.0,127,1460.125296
5.0,350,1463.987379
0.0,127,1465.301028
0.0,129,1466.611672
0.0,127,1467.905311
2.0,202,1470.114333
0.0,127,1471.444767
0.0,127,1472.718674
0.0,129,1474.057716
1.0,175,1475.838581
4.0,319,1479.257112
2.0,202,1481.432693
0.0,127,1482.769687
0.0,129,1484.143954
1.0,173,1485.937135
2.0,218,1488.179574
0.0,129,1489.543444
0.0,129,1490.958448
4.0,282,1494.108341
5.0,350,1497.779957
2.0,202,1499.866713
1.0,171,1501.552674
1.0,157,1503.19804
2.0,202,1505.31574
0.0,125,1506.501494
1.0,155,1508.081172
9.0,404,1512.581738
4.0,297,1515.705287
2.0,202,1517.874831
0.0,129,1519.167137
9.0,404,1523.436107
0.0,129,1524.693477
5.0,372,1528.624923
1.0,173,1530.44028
2.0,202,1532.506279
0.0,127,1533.808523
0.0,129,1535.034974
0.0,127,1536.274101
2.0,202,1538.279051
1.0,174,1540.078952
5.0,350,1544.022353
5.0,350,1547.831613
0.0,127,1549.075753
0.0,125,1550.285393
6.0,396,1554.673167
9.0,506,1560.249066
6.0,399,1564.417716
9.0,403,1568.651099
10.0,474,1573.845313
2.0,202,1575.887422
0.0,123,1577.118391
0.0,129,1578.441301
10.0,434,1583.036855
4.0,321,1586.545124
9.0,404,1591.034942
0.0,125,1592.286911
1.0,178,1594.082941
3.0,248,1596.782501
3.0,226,1599.242047
0.0,129,1600.617289
0.0,127,1601.924984
1.0,157,1603.580507
6.0,377,1607.581234
0.0,127,1608.879361
0.0,129,1610.189163
4.0,299,1613.46582
2.0,202,1615.524342
0.0,127,1616.837488
2.0,207,1619.069533
2.0,202,1621.209559
11.0,483,1626.573348
9.0,404,1630.901109
5.0,350,1634.801704
2.0,202,1636.849511
0.0,129,1638.253633
0.0,129,1639.5653
0.0,127,1640.792447
9.0,404,1645.20829
0.0,129,1646.540277
0.0,129,1647.796276
1.0,153,1649.366765
1.0,178,1651.211732
4.0,320,1654.528955
5.0,350,1658.186488
0.0,127,1659.54082
4.0,320,1663.032399
0.0,129,1664.317906
0.0,127,1665.580915
0.0,125,1666.79585
0.0,123,1667.993019
1.0,155,1669.523061
8.0,462,1674.509078
2.0,220,1676.863259
5.0,350,1680.62088
6.0,378,1684.677039
0.0,127,1685.875302
4.0,299,1688.979032
0.0,127,1690.297258
4.0,278,1693.257389
2.0,202,1695.312215
3.0,255,1698.122712
0.0,129,1699.349876
0.0,127,1700.691578
0.0,129,1702.076648
2.0,182,1704.068904
3.0,250,1706.761541
1.0,176,1708.574879
0.0,129,1709.851296
5.0,350,1713.475746
3.0,248,1715.979506
0.0,129,1717.208725
4.0,275,1720.099758
1.0,155,1721.627822
0.0,129,1722.883948
5.0,350,1726.572482
4.0,297,1729.848078
0.0,127,1731.114862
12.0,530,1736.709725
0.0,129,1738.095163
2.0,223,1740.457021
0.0,127,1741.770115
0.0,125,1742.947743
0.0,129,1744.164219
0.0,129,1745.480044
1.0,157,1747.125093
0.0,127,1748.419306
5.0,350,1752.09643
0.0,127,1753.433848
4.0,299,1756.671323
3.0,268,1759.692438
2.0,202,1761.895179
0.0,125,1763.177866
5.0,350,1766.995116
2.0,198,1769.0232
1.0,153,1770.597091
0.0,127,1771.920991
5.0,344,1775.713109
0.0,129,1777.001262
10.0,434,1781.576161
2.0,198,1783.702843
1.0,173,1785.565349
0.0,127,1786.916383
9.0,402,1791.382713
5.0,350,1794.987009
2.0,202,1797.010335
9.0,404,1801.299965
2.0,223,1803.661639
3.0,270,1806.542498
4.0,294,1809.615699
0.0,129,1810.988371
5.0,352,1814.651337
4.0,297,1817.771617
0.0,127,1818.950978
0.0,129,1820.241606
1.0,173,1822.11314
0.0,127,1823.462517
2.0,202,1825.647414
4.0,297,1828.773215
5.0,372,1832.783754
0.0,125,1834.090349
1.0,157,1835.64403
2.0,221,1837.971384
0.0,129,1839.275725
10.0,434,1844.02031
0.0,129,1845.307487
3.0,235,1847.764029
3.0,271,1850.661939
1.0,175,1852.503122
3.0,213,1854.665546
4.0,297,1857.959731
4.0,277,1860.999888
5.0,350,1864.82462
1.0,178,1866.681782
0.0,125,1867.908756
0.0,129,1869.167868
5.0,350,1872.975918
1.0,155,1874.552346
2.0,200,1876.740108
3.0,230,1879.309273
0.0,127,1880.611561
7.0,450,1885.584993
5.0,350,1889.415677
0.0,125,1890.670714
4.0,299,1893.880732
0.0,129,1895.155197
1.0,155,1896.765383
1.0,171,1898.549041
0.0,127,1899.816499
1.0,173,1901.669724
5.0,367,1905.752293
0.0,129,1907.021285
3.0,237,1909.445124
10.0,432,1914.129783
5.0,350,1918.030038
0.0,129,1919.28803
7.0,430,1923.915403
4.0,299,1927.162688
0.0,127,1928.481438
0.0,127,1929.79904
1.0,174,1931.660241
5.0,352,1935.396039
1.0,175,1937.241653
2.0,202,1939.327692
0.0,125,1940.555804
0.0,127,1941.84559
5.0,347,1945.679945
0.0,125,1946.861622
9.0,380,1950.925117
0.0,125,1952.137573
1.0,157,1953.614512
2.0,203,1955.733915
0.0,129,1957.012322
2.0,207,1959.32041
2.0,200,1961.391207
0.0,129,1962.725279
1.0,155,1964.379591
2.0,227,1966.938864
0.0,129,1968.172981
3.0,255,1970.849257
2.0,202,1972.999837
2.0,202,1975.25157
0.0,129,1976.588364
0.0,129,1977.958979
1.0,155,1979.583143
3.0,246,1982.283105
0.0,123,1983.455109
3.0,252,1986.110754
1.0,173,1987.929016
1.0,154,1989.574298
3.0,253,1992.204154
0.0,127,1993.516355
5.0,350,1997.470654
0.0,127,1998.732022
2.0,206,2000.848905
1.0,176,2002.687377
2.0,202,2004.696456
2.0,202,2006.830867
0.0,127,2008.115683
3.0,228,2010.599766
0.0,129,2011.916577
4.0,299,2015.155566
5.0,350,2018.978559
6.0,397,2023.289033
3.0,235,2025.791046
1.0,153,2027.459796
1.0,155,2029.026339
9.0,404,2033.41188
1.0,157,2035.009626
4.0,297,2038.089388
5.0,329,2041.543076
3.0,235,2044.075478
0.0,125,2045.294464
1.0,155,2046.9623
8.0,372,2050.940987
6.0,397,2055.209208
0.0,127,2056.563388
2.0,202,2058.727162
4.0,296,2061.888824
6.0,366,2065.888662
0.0,129,2067.160301
1.0,157,2068.797621
0.0,127,2070.023178
1.0,173,2071.844999
9.0,404,2076.137972
1.0,173,2077.953086
1.0,155,2079.509254
0.0,127,2080.731068
10.0,454,2085.575294
