eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
178.5,1.26,0.5295364856719971,356,7200,1.3849303722381592,144000,0.06836605072021484
180.93,1.32,0.5603917837142944,356,7300,1.381946325302124,146000,0.07802609354257584
173.65,1.14,0.8049596697092056,356,7400,1.3843824863433838,148000,0.005524412728846073
180.85,1.31,-2.296090841293335,356,7500,1.3839645385742188,150000,0.0027878046967089176
182.29,1.34,-0.5166256427764893,356,7600,1.3828126192092896,152000,0.018449876457452774
185.8,1.42,0.9949051006697118,356,7700,1.3807346820831299,154000,0.002209213562309742
189.77,1.53,0.8181495070457458,356,7800,1.381295084953308,156000,0.032126255333423615
192.43,1.6,0.6722811758518219,356,7900,1.3810807466506958,158000,0.008219043724238873
198.66,1.74,-1.203683853149414,356,8000,1.379577875137329,160000,0.003481335937976837
193.28,1.62,0.7612186968326569,356,8100,1.378300428390503,162000,0.026229679584503174
196.75,1.67,0.8446234911680222,356,8200,1.3746399879455566,164000,0.04226033017039299
201.38,1.77,0.8733680099248886,356,8300,1.371685266494751,166000,0.025077257305383682
203.54,1.82,0.693640947341919,356,8400,1.3717793226242065,168000,0.01102534495294094
204.54,1.85,0.9417317770421505,356,8500,1.3763526678085327,170000,0.0026068738661706448
204.28,1.85,0.26976311206817627,356,8600,1.3706800937652588,172000,0.1445026844739914
207.59,1.91,0.9448429308831692,356,8700,1.378186821937561,174000,0.0015449122292920947
201.05,1.76,0.8925858363509178,356,8800,1.3744280338287354,176000,0.01282438449561596
201.39,1.82,0.967719491571188,356,8900,1.3749961853027344,178000,0.003416955005377531
200.78,1.81,0.5934069752693176,356,9000,1.3683655261993408,180000,0.0998396947979927
200.31,1.81,0.9745092298835516,356,9100,1.3654110431671143,182000,0.01292386930435896
200.37,1.87,0.9504358433187008,356,9200,1.3675673007965088,184000,0.007404731120914221
193.63,1.71,0.9278665781021118,356,9300,1.362537145614624,186000,0.051584403961896896
193.6,1.73,0.7789605557918549,356,9400,1.355160117149353,188000,0.003476478159427643
193.21,1.72,-0.22978782653808594,356,9500,1.3540842533111572,190000,0.0014305319637060165
189.27,1.62,0.9826060216873884,356,9600,1.3537427186965942,192000,0.011222533881664276
190.4,1.64,0.9448669701814651,356,9700,1.3660924434661865,194000,0.005268401466310024
189.66,1.64,0.9710521083325148,356,9800,1.3353465795516968,196000,0.013820352032780647
197.43,1.88,0.9879428949207067,356,9900,1.364197015762329,198000,0.00138801708817482
200.65,1.96,0.9947150009684265,356,10000,1.356745958328247,200000,0.003928287420421839
197.12,1.85,0.9848917108029127,356,10100,1.3624606132507324,202000,0.002460041781887412
197.41,1.83,0.993163051083684,356,10200,1.3527045249938965,204000,0.002652789233252406
198.98,1.89,0.9617656320333481,356,10300,1.3607113361358643,206000,0.006285055540502071
198.35,1.87,0.9630254320800304,356,10400,1.351209044456482,208000,0.0038635965902358294
200.44,1.98,0.9499599523842335,356,10500,1.357957124710083,210000,0.0062283738516271114
202.97,2.03,0.9951689350418746,356,10600,1.3538033962249756,212000,0.0017801079666242003
211.02,2.24,0.9942856659181416,356,10700,1.361762285232544,214000,0.0006685693515464664
210.77,2.21,0.9856072915717959,356,10800,1.356024980545044,216000,0.0037546693347394466
209.96,2.15,0.9968451864551753,356,10900,1.3545681238174438,218000,0.001137617859058082
212.71,2.2,0.9895787835121155,356,11000,1.3619118928909302,220000,0.002080290112644434
221.14,2.42,0.9937828523106873,356,11100,1.359406590461731,222000,0.002163660479709506
221.76,2.43,-0.7513246536254883,356,11200,1.3524036407470703,224000,0.006891898810863495
223.2,2.49,0.6938861608505249,356,11300,1.3492732048034668,226000,0.06188146397471428
226.16,2.56,0.9971784283407032,356,11400,1.3534390926361084,228000,0.0007975705084390938
226.63,2.6,0.9868543231859803,356,11500,1.3520023822784424,230000,0.0023197229020297527
228.98,2.69,0.9196199104189873,356,11600,1.3510817289352417,232000,0.01464399229735136
228.67,2.69,0.9915644824504852,356,11700,1.344412088394165,234000,0.0011904636630788445
228.23,2.67,0.982290854677558,356,11800,1.3570104837417603,236000,0.0037979979533702135
227.91,2.64,-0.2107863426208496,356,11900,1.355647087097168,238000,0.0003692087484523654
222.75,2.56,0.9962771895807236,356,12000,1.3599096536636353,240000,0.001872955821454525
213.82,2.35,-1.38069486618042,356,12100,1.3638763427734375,242000,0.004070973955094814
205.77,2.14,0.9757221154868603,356,12200,1.3482263088226318,244000,0.01567378267645836
205.26,2.12,0.9914194047451019,356,12300,1.3601242303848267,246000,0.0017964218277484179
205.68,2.08,0.6368876695632935,356,12400,1.3645539283752441,248000,0.000662270758766681
205.03,2.01,0.9443965218961239,356,12500,1.345557689666748,250000,0.01643138751387596
198.12,1.8,0.9673870019614697,356,12600,1.3472923040390015,252000,0.0031986378598958254
193.77,1.69,0.9920827830210328,356,12700,1.3497546911239624,254000,0.0016230072360485792
194.8,1.69,0.9927779878489673,356,12800,1.3537653684616089,256000,0.0016281872522085905
194.09,1.66,0.9893853906542063,356,12900,1.3560396432876587,258000,0.0013397062430158257
194.72,1.66,0.9985841009765863,356,13000,1.3433977365493774,260000,0.0010068833362311125
203.37,1.89,0.9993484703591093,356,13100,1.3355610370635986,262000,0.00040268004522658885
204.05,1.92,0.9913820484653115,356,13200,1.3280900716781616,264000,0.0015659213531762362
209.22,2.06,0.8685037642717361,356,13300,1.3156211376190186,266000,0.004351331386715174
206.52,2.03,0.9963770813774318,356,13400,1.3353910446166992,268000,0.0014252027031034231
209.81,2.1,0.9992585502332076,356,13500,1.3328373432159424,270000,0.00027365016285330057
213.38,2.24,0.9915153281763196,356,13600,1.3426052331924438,272000,0.0010477714240550995
215.25,2.31,0.988008538261056,356,13700,1.350953459739685,274000,0.0009411188075318933
222.29,2.58,0.9129390493035316,356,13800,1.3427181243896484,276000,0.0059673963114619255
224.33,2.65,0.9994618585333228,356,13900,1.350826621055603,278000,0.0001897775655379519
219.06,2.55,0.9985622544772923,356,14000,1.3440698385238647,280000,0.0006737422081641853
211.97,2.33,0.9979462779592723,356,14100,1.3440873622894287,282000,0.0013081072829663754
205.99,2.17,0.9883459117263556,356,14200,1.3519432544708252,284000,0.0013845576904714108
206.77,2.19,0.9736537486314774,356,14300,1.3443529605865479,286000,0.004082863684743643
